sequence_length,dropout_rate,final_loss,final_train_loss,final_val_loss
64,0.1,0.375548779964447,"9.710179328918457,7.362041473388672,6.734018802642822,6.4437737464904785,6.234638214111328,5.9785542488098145,5.744400501251221,5.559484481811523,5.334316253662109,5.1481242179870605,4.970940589904785,4.758142471313477,4.591461181640625,4.306638717651367,4.134425640106201,3.921826124191284,3.6800310611724854,3.477922201156616,3.289721727371216,3.09765362739563,2.892505645751953,2.704911947250366,2.5175018310546875,2.320296287536621,2.1731722354888916,2.0196661949157715,1.877205729484558,1.9412564039230347,1.692794919013977,1.4660075902938843,1.336429476737976,1.2297827005386353,1.09054434299469,1.055299162864685,0.9761243462562561,0.8867116570472717,0.8181325793266296,0.7413403987884521,0.7047544717788696,0.6696919798851013,0.6728218197822571,0.6006828546524048,0.6260506510734558,0.8585234880447388,0.545764148235321,0.4937392771244049,0.4223874509334564,0.4314926266670227,0.37788984179496765,0.375548779964447","8.640968322753906,8.617490768432617,7.015061378479004,6.900885105133057,6.589081287384033,5.986955165863037,6.196592807769775,5.994141101837158,5.728237152099609,5.342922210693359,5.190474987030029,5.409021854400635,4.662889003753662,4.567558288574219,4.582137584686279,4.206242084503174,4.060074806213379,3.9951632022857666,3.9272103309631348,3.718987226486206,3.730379104614258,3.6241230964660645,3.5338003635406494,3.616722583770752,3.5318350791931152,3.546354055404663,3.6374003887176514,3.614739418029785,3.5567233562469482,3.6106011867523193,3.7504546642303467,3.809300184249878,3.9091594219207764,3.9206604957580566,4.113583564758301,4.137336730957031,4.25497579574585,4.3863654136657715,4.415497779846191,4.486202716827393,4.615283489227295,4.644844055175781,4.8396711349487305,4.722031593322754,4.753968238830566,4.770907878875732,4.922618389129639,5.026363849639893,5.084197044372559,5.159770488739014"
64,0.2,0.9212949275970459,"10.045769691467285,7.55759334564209,6.885320663452148,6.662091255187988,6.401734352111816,6.175536632537842,5.961987018585205,5.786379337310791,5.591891765594482,5.415240287780762,5.2319488525390625,5.043433666229248,4.867057800292969,4.678048133850098,4.504498481750488,4.305612564086914,4.118277072906494,3.9281232357025146,3.8265395164489746,3.8079729080200195,3.5620858669281006,3.343249559402466,3.206476926803589,3.1590731143951416,2.944619655609131,2.8582496643066406,2.72493839263916,2.607879877090454,2.4568276405334473,2.3291501998901367,2.23885440826416,2.1304774284362793,2.0328874588012695,1.948684573173523,1.84940505027771,1.773640513420105,1.710585355758667,1.6529276371002197,1.5288515090942383,1.462235450744629,1.3856275081634521,1.2785815000534058,1.2497248649597168,1.174144983291626,1.2188875675201416,1.0867701768875122,1.0341689586639404,0.9903687834739685,0.9352827668190002,0.9212949275970459","8.388897895812988,7.819676876068115,7.60245943069458,6.764528751373291,6.556637763977051,6.41788387298584,5.854487419128418,5.684537887573242,5.629947185516357,5.4778971672058105,5.148324012756348,4.953057765960693,4.8472208976745605,4.755627155303955,4.462039947509766,4.3411641120910645,4.20096492767334,4.075231552124023,4.787301540374756,3.9620065689086914,3.826484203338623,3.751380443572998,3.747562885284424,3.6307151317596436,3.566561222076416,3.551809549331665,3.528534412384033,3.473148822784424,3.460097074508667,3.4653568267822266,3.53071928024292,3.4352216720581055,3.4228339195251465,3.440047025680542,3.4753262996673584,3.511690378189087,3.501406669616699,3.510309934616089,3.513063669204712,3.5977959632873535,3.6056931018829346,3.650005578994751,3.7129366397857666,3.9065802097320557,3.836566925048828,3.9028544425964355,3.9602932929992676,3.9932048320770264,4.1233954429626465,4.0569610595703125"
64,0.3,1.466715931892395,"10.208977699279785,7.724146366119385,6.9652018547058105,6.70301628112793,6.499084949493408,6.303419589996338,6.136664867401123,5.983852386474609,5.827329635620117,5.659790515899658,5.50017786026001,5.360409259796143,5.154467582702637,4.9892578125,4.830755710601807,4.713373184204102,4.547459602355957,4.372539520263672,4.2199859619140625,4.150278091430664,3.953662872314453,3.8210439682006836,3.7142417430877686,3.601543426513672,3.462744951248169,3.3392298221588135,3.252035140991211,3.1679892539978027,3.044686794281006,2.974855422973633,2.8614301681518555,2.7527177333831787,2.653049945831299,2.5530929565429688,2.469275712966919,2.3784379959106445,2.2977471351623535,2.2120001316070557,2.160273551940918,2.078211784362793,1.9878137111663818,1.94122314453125,1.8666045665740967,1.7813045978546143,1.7478315830230713,1.6889913082122803,1.6022082567214966,1.5594148635864258,1.5330384969711304,1.466715931892395","9.029139518737793,7.798961639404297,7.05874490737915,6.603960990905762,6.589616775512695,6.160320281982422,6.418406963348389,6.1519317626953125,5.704447269439697,5.529279708862305,5.416752338409424,5.320964813232422,5.198317527770996,4.936402320861816,5.047473430633545,4.639723300933838,4.493222236633301,4.317191123962402,4.3167572021484375,4.133002758026123,4.055744647979736,4.095088005065918,3.8799614906311035,3.8396799564361572,3.7786571979522705,3.7793586254119873,3.676722288131714,3.6404945850372314,3.62650465965271,3.570690870285034,3.523674726486206,3.4902946949005127,3.511035203933716,3.4301559925079346,3.4522554874420166,3.4623143672943115,3.385281801223755,3.4565024375915527,3.428978681564331,3.4364819526672363,3.48543381690979,3.476203680038452,3.518592596054077,3.4994142055511475,3.5323750972747803,3.560150146484375,3.571187734603882,3.611751079559326,3.626849889755249,3.699366331100464"
64,0.4,2.6322379112243652,"10.698897361755371,7.984843730926514,7.2148356437683105,6.966292381286621,6.734050273895264,6.572327613830566,6.440798759460449,6.68868350982666,6.537553787231445,6.1842942237854,6.042720317840576,5.885417938232422,5.789813995361328,5.674496173858643,5.549256801605225,5.443122386932373,5.381661891937256,5.22936487197876,5.083601474761963,4.993398189544678,4.865382194519043,4.7240777015686035,4.649885177612305,4.523399353027344,4.43556547164917,4.329409599304199,4.492979526519775,4.174238681793213,4.063149452209473,3.970146417617798,3.879218101501465,3.8349051475524902,3.733107328414917,3.6580851078033447,3.5670547485351562,3.5518417358398438,3.443727970123291,3.3695218563079834,3.3032498359680176,3.278677225112915,3.1615102291107178,3.079211473464966,3.0492594242095947,3.0049800872802734,2.9263761043548584,2.860081195831299,2.8136110305786133,2.7260944843292236,2.684121608734131,2.6322379112243652","8.88117504119873,7.7229533195495605,7.18373966217041,6.780653476715088,6.574307918548584,6.614290237426758,6.482713222503662,13.69632625579834,6.457192897796631,7.21323823928833,5.9415717124938965,5.778352737426758,5.595023155212402,5.529011249542236,5.411006927490234,5.648812770843506,5.253411293029785,5.0396409034729,4.92665433883667,4.932754993438721,4.705843925476074,4.591406345367432,4.481957912445068,4.438127517700195,4.4514617919921875,5.284328460693359,4.207521915435791,4.13273286819458,4.094459056854248,4.053712368011475,3.9357986450195312,3.8814053535461426,3.885437250137329,3.8438234329223633,3.802332639694214,3.7069954872131348,3.676717758178711,3.632434606552124,3.6209466457366943,3.5864098072052,3.5444512367248535,3.501905918121338,3.5315520763397217,3.4734246730804443,3.4710686206817627,3.4810991287231445,3.456660747528076,3.4295201301574707,3.3962647914886475,3.41892147064209"
64,0.5,3.02192759513855,"11.217150688171387,8.439863204956055,7.4936323165893555,7.063349723815918,6.856330871582031,6.671298503875732,6.507870197296143,6.389069080352783,6.2852864265441895,6.286496639251709,6.034572124481201,5.946064472198486,5.820980548858643,5.787364482879639,5.637669086456299,5.534120559692383,5.399040222167969,5.298889636993408,5.18860387802124,5.085705280303955,4.982367038726807,4.907162666320801,4.8171796798706055,4.725591659545898,4.656445026397705,4.579333305358887,4.4951066970825195,4.407020092010498,4.287774085998535,4.200489521026611,4.145784854888916,4.055499076843262,3.9871394634246826,3.9175057411193848,3.8702142238616943,3.78263258934021,3.70495867729187,3.813974380493164,3.6188158988952637,3.5835611820220947,3.52148175239563,3.4123191833496094,3.3648393154144287,3.294652223587036,3.2570483684539795,3.2032291889190674,3.1540591716766357,3.115244150161743,3.0686097145080566,3.02192759513855","8.57536506652832,7.550113677978516,7.095835208892822,6.999214172363281,6.767479419708252,6.459644794464111,6.270125389099121,6.156411647796631,6.143093585968018,6.058512210845947,5.781915664672852,5.643564224243164,5.508020877838135,5.438857078552246,5.318358421325684,5.247344493865967,5.165994167327881,4.972745418548584,4.910650730133057,4.773629665374756,4.695630073547363,4.614488124847412,4.53976583480835,4.479748725891113,4.3877034187316895,4.530485153198242,4.251553535461426,4.145317077636719,4.086366653442383,4.0535054206848145,3.965684175491333,3.9055564403533936,3.8653974533081055,3.8216705322265625,3.8232057094573975,3.7390599250793457,3.7155284881591797,3.6964666843414307,3.6925551891326904,3.6740880012512207,3.57832670211792,3.563382625579834,3.5540382862091064,3.5000853538513184,3.5004541873931885,3.4790520668029785,3.444079637527466,3.4388208389282227,3.492189645767212,3.419219493865967"
128,0.1,1.1667230129241943,"9.718724250793457,7.337960720062256,6.688711166381836,6.417953968048096,6.126986980438232,5.871721267700195,5.649603843688965,5.452396869659424,5.257174015045166,5.059694766998291,4.888625621795654,4.709989547729492,4.522939682006836,4.345127105712891,4.153286933898926,3.9502313137054443,3.750546932220459,3.5639543533325195,3.383638620376587,4.517890453338623,4.191976547241211,3.3034963607788086,3.05708909034729,2.8993327617645264,2.7663791179656982,2.648773431777954,2.5592103004455566,2.4683029651641846,2.363327980041504,2.2778589725494385,2.1979403495788574,2.130523920059204,2.0601372718811035,2.0090878009796143,1.9211914539337158,1.8728188276290894,1.814557671546936,1.7550791501998901,1.6880699396133423,1.6282671689987183,1.562380075454712,1.5273139476776123,1.4897968769073486,1.4551955461502075,1.3754712343215942,1.3372429609298706,1.301698923110962,1.2360453605651855,1.2200241088867188,1.1667230129241943","8.782487869262695,7.862765789031982,7.973675727844238,6.828005790710449,6.725954055786133,6.119403839111328,6.2161383628845215,6.037785053253174,5.484768867492676,5.380716323852539,5.059978485107422,4.873765468597412,4.6585564613342285,4.516793251037598,4.358856201171875,4.174160957336426,4.102787494659424,3.9380762577056885,3.8804268836975098,6.665600299835205,3.95749831199646,3.757431745529175,3.672258138656616,3.6298375129699707,3.602268695831299,3.5609381198883057,3.574723720550537,3.5467135906219482,3.565458297729492,3.615144729614258,3.5765106678009033,3.5886008739471436,3.621764898300171,3.63860821723938,3.6505236625671387,3.6643333435058594,3.715291976928711,3.707296371459961,3.750548839569092,3.7644453048706055,3.848257541656494,3.8690412044525146,3.9258389472961426,3.8910176753997803,3.958631753921509,4.008813858032227,4.02486515045166,4.0889105796813965,4.107754707336426,4.1916985511779785"
128,0.2,0.8750746250152588,"10.03217601776123,7.567368984222412,6.839076519012451,6.520142078399658,6.284120559692383,6.0624237060546875,5.802715301513672,6.102066516876221,5.543831825256348,5.3545241355896,5.170613765716553,5.0104217529296875,4.9060540199279785,4.746838092803955,4.572622299194336,4.415811061859131,4.253938674926758,4.101813316345215,3.964769124984741,3.816821336746216,3.655221462249756,3.5011470317840576,3.346485137939453,3.2054598331451416,3.0744850635528564,2.939810276031494,2.7984585762023926,2.6770055294036865,2.5444040298461914,2.408618211746216,2.2797462940216064,2.172088384628296,2.0666186809539795,1.9795501232147217,1.8534753322601318,1.7460715770721436,1.6789201498031616,1.595641851425171,1.5045373439788818,1.416216492652893,1.3756887912750244,1.2868584394454956,1.2048490047454834,1.1509242057800293,1.0966819524765015,1.044152855873108,1.0086296796798706,0.9589307904243469,0.9150142073631287,0.8750746250152588","8.763376235961914,7.694342136383057,7.003294944763184,6.545240879058838,6.5449299812316895,6.293826580047607,5.840457439422607,5.933208465576172,5.521839141845703,5.457348823547363,5.264964580535889,4.930478096008301,4.912801265716553,4.68408203125,4.596169948577881,4.461377143859863,4.306403160095215,4.2327046394348145,4.124359607696533,4.005856990814209,3.861332416534424,3.803814649581909,3.7392024993896484,3.6439976692199707,3.5852560997009277,3.5255653858184814,3.4726974964141846,3.454805612564087,3.4294071197509766,3.4076521396636963,3.3609354496002197,3.368987798690796,3.359907865524292,3.3243260383605957,3.391373634338379,3.3907344341278076,3.4218451976776123,3.4713475704193115,3.4611966609954834,3.5770342350006104,3.5780792236328125,3.6176960468292236,3.7967844009399414,3.710463762283325,3.7997450828552246,3.8280868530273438,3.8807570934295654,3.9357213973999023,3.9789481163024902,4.074465274810791"
128,0.3,1.3994321823120117,"10.328500747680664,7.725173473358154,6.991684436798096,6.670529365539551,6.440255165100098,6.291338920593262,6.0546183586120605,5.892428874969482,5.716560363769531,5.51697301864624,5.351667881011963,5.222356796264648,5.040557861328125,4.898838996887207,4.755126953125,4.634697914123535,4.5058183670043945,4.354901313781738,4.191939353942871,4.080233573913574,3.9214065074920654,3.83622407913208,3.6793596744537354,3.5493667125701904,3.437073230743408,3.3256020545959473,3.212747812271118,3.110445499420166,3.012125253677368,2.9223036766052246,2.8166308403015137,2.7197649478912354,2.614224433898926,2.5108482837677,2.4141571521759033,2.32853102684021,2.242605686187744,2.160813570022583,2.0919055938720703,2.000617027282715,1.9213006496429443,1.8711923360824585,1.7883538007736206,1.7230424880981445,1.673663854598999,1.5962966680526733,1.5428624153137207,1.512288212776184,1.4595751762390137,1.3994321823120117","8.979219436645508,7.82690954208374,7.46430778503418,6.741067886352539,6.419435501098633,6.152262210845947,5.888415813446045,5.761886119842529,5.678839206695557,5.377506732940674,5.230483531951904,5.02294397354126,4.860032558441162,4.716926574707031,4.749563694000244,4.486468315124512,4.4505181312561035,4.243405818939209,4.1334757804870605,4.043206691741943,3.969876289367676,3.8694050312042236,3.7551279067993164,3.692176103591919,3.6523754596710205,3.5830204486846924,3.5535671710968018,3.492924213409424,3.455721855163574,3.418301820755005,3.3932058811187744,3.3308775424957275,3.3181886672973633,3.3007822036743164,3.2541661262512207,3.2595181465148926,3.2707817554473877,3.3046274185180664,3.26633882522583,3.273923635482788,3.2876598834991455,3.3383896350860596,3.3332936763763428,3.355630874633789,3.374471426010132,3.4130327701568604,3.431905746459961,3.471142530441284,3.4800891876220703,3.543534994125366"
128,0.4,2.5411744117736816,"11.768549919128418,8.421270370483398,7.483338356018066,7.0802130699157715,6.858428001403809,6.620481491088867,6.438345432281494,6.33754825592041,6.143494606018066,5.918791770935059,5.7638678550720215,5.598433017730713,5.453380584716797,5.356957912445068,5.198000431060791,5.095637321472168,5.01146936416626,4.91180419921875,4.77844762802124,4.712060451507568,4.594445705413818,4.505219459533691,4.418521881103516,4.331466197967529,4.256674289703369,4.165079593658447,4.082545280456543,3.9735476970672607,3.885071039199829,3.8187873363494873,3.7316441535949707,3.6426048278808594,3.578221082687378,3.5219573974609375,3.469606876373291,3.3586885929107666,3.2936177253723145,3.2103559970855713,3.1914784908294678,3.0980706214904785,3.0319459438323975,2.9735090732574463,2.9246907234191895,2.8758063316345215,2.798750400543213,2.7572453022003174,2.6986501216888428,2.6486072540283203,2.5922963619232178,2.5411744117736816","9.440597534179688,8.258709907531738,7.659975528717041,7.45957612991333,6.7077741622924805,6.705812931060791,6.242218017578125,6.641881942749023,5.831906318664551,5.667868137359619,5.448391914367676,5.320657253265381,5.1861186027526855,5.063928127288818,4.984626293182373,4.909534454345703,4.803935527801514,4.723020076751709,4.593680381774902,4.532723426818848,4.4395928382873535,4.342057228088379,4.288204669952393,4.227968215942383,4.169339179992676,4.147924423217773,4.030710220336914,3.9758667945861816,3.9278790950775146,3.892767906188965,3.8244946002960205,3.7878241539001465,3.736746072769165,3.7186477184295654,3.69838809967041,3.6574649810791016,3.6026270389556885,3.5857527256011963,3.5901296138763428,3.543036937713623,3.5612382888793945,3.507432222366333,3.508120059967041,3.48294997215271,3.4462168216705322,3.445035696029663,3.454979419708252,3.4463748931884766,3.4466516971588135,3.4220221042633057"
128,0.5,3.0325701236724854,"11.300529479980469,8.318119049072266,7.403720855712891,7.039129257202148,6.819337368011475,6.662786960601807,6.484172344207764,6.335815906524658,6.181544303894043,6.046742916107178,5.925121307373047,5.799283504486084,5.696361064910889,5.5822062492370605,5.459299087524414,5.391203880310059,5.285907745361328,5.1814069747924805,5.116147994995117,5.048392295837402,4.964007377624512,4.865350723266602,4.8054327964782715,4.865995407104492,4.615833759307861,4.520155429840088,4.418438911437988,4.624573707580566,4.333410263061523,4.284776210784912,4.139533996582031,4.056756973266602,4.017244815826416,3.9828367233276367,3.87099289894104,3.809985399246216,3.7262988090515137,3.6773362159729004,3.6076486110687256,3.5633277893066406,3.506448745727539,3.434798002243042,3.3768649101257324,3.3123929500579834,3.3287651538848877,3.241241693496704,3.182579755783081,3.1150765419006348,3.088052988052368,3.0325701236724854","8.653905868530273,7.8024163246154785,7.0066962242126465,7.311535358428955,6.640032768249512,6.358133792877197,6.14032506942749,6.128108501434326,5.9295244216918945,5.793423175811768,5.678277969360352,5.4713568687438965,5.272778034210205,5.17445707321167,5.178558349609375,5.027472496032715,4.9403767585754395,4.857031345367432,4.837592601776123,4.695619583129883,4.628647804260254,4.547287464141846,4.483488082885742,4.412270545959473,4.300793170928955,4.243161678314209,4.1571197509765625,4.238784313201904,4.069186687469482,4.01436710357666,3.930286169052124,3.906224489212036,3.8502323627471924,3.804020404815674,3.7620816230773926,3.7230279445648193,3.659365653991699,3.643028736114502,3.6032116413116455,3.5899691581726074,3.548027753829956,3.5192782878875732,3.514162302017212,3.467146635055542,3.457494020462036,3.4275879859924316,3.412121534347534,3.395371913909912,3.369804859161377,3.3644216060638428"
192,0.1,5.784984588623047,"9.792594909667969,7.362874984741211,6.732946395874023,6.455268383026123,6.205554008483887,5.927753448486328,5.639454364776611,7.787291049957275,7.529914855957031,7.408801555633545,6.89522123336792,6.631603240966797,6.427951812744141,6.250612258911133,6.094118595123291,5.926360607147217,5.784984588623047","8.438150405883789,7.840811729431152,7.123667240142822,6.583488941192627,7.0277533531188965,5.953925132751465,6.461423873901367,36.433929443359375,15.543355941772461,9.9539155960083,12.18091869354248,7.950456142425537,7.400853157043457,7.691070556640625,7.808655738830566,7.1452836990356445,9.206269264221191"
192,0.2,0.750181257724762,"10.176007270812988,7.601700782775879,6.915635108947754,6.600451469421387,6.37445068359375,6.128884792327881,5.8728179931640625,5.5982537269592285,5.354870796203613,5.167030334472656,4.977767467498779,4.759506702423096,4.586989402770996,4.438243865966797,4.248446464538574,4.126810073852539,3.984083890914917,3.7661044597625732,3.6385910511016846,3.467651128768921,3.323082685470581,3.160682439804077,3.0458219051361084,2.8910200595855713,2.75600266456604,2.6340627670288086,2.4869067668914795,2.3523170948028564,2.2654850482940674,2.1472063064575195,2.0123114585876465,1.9249361753463745,1.812218189239502,1.730190634727478,1.6269296407699585,1.528672695159912,1.4588954448699951,1.3795781135559082,1.2859201431274414,1.236569881439209,1.1803457736968994,1.1157290935516357,1.067625880241394,1.0124439001083374,0.9479211568832397,0.8954375386238098,0.8384435772895813,0.8209711909294128,0.7926918268203735,0.750181257724762","8.592508316040039,7.983831405639648,6.895222187042236,6.7428741455078125,6.095601558685303,6.019688129425049,5.5431952476501465,5.479233264923096,5.057431221008301,5.121372699737549,4.83734655380249,4.6106486320495605,4.542463302612305,4.306486129760742,4.23994255065918,4.5942912101745605,3.9797425270080566,3.918024778366089,3.786041498184204,3.7213144302368164,3.6852972507476807,3.573420763015747,3.5107250213623047,3.572408437728882,3.4215526580810547,3.4791176319122314,3.3733885288238525,3.348989248275757,3.3193485736846924,3.3224849700927734,3.36956524848938,3.3656063079833984,3.3371074199676514,3.413175582885742,3.41306734085083,3.429720878601074,3.458847999572754,3.514857292175293,3.578259229660034,3.6182258129119873,3.675753355026245,3.7508692741394043,3.8108043670654297,3.8880386352539062,3.947605848312378,4.03210973739624,4.041891574859619,4.139142990112305,4.160965442657471,4.2499613761901855"
192,0.3,1.3369667530059814,"10.257275581359863,7.757425785064697,6.957502365112305,6.660974502563477,6.428598880767822,6.182605266571045,5.952020168304443,5.750405311584473,5.554017543792725,5.3531270027160645,5.208812713623047,5.0364179611206055,4.889190196990967,4.726806163787842,4.575837135314941,4.478763103485107,4.31376314163208,4.180116653442383,4.030872821807861,3.8987746238708496,3.748692512512207,3.6499884128570557,3.5172317028045654,3.4024877548217773,3.2860968112945557,3.199312448501587,3.0792391300201416,2.977963924407959,2.867311716079712,2.769813299179077,2.679516553878784,2.5665335655212402,2.7263946533203125,2.605276107788086,2.348032236099243,2.219879627227783,2.1304547786712646,2.0448925495147705,1.9908801317214966,1.9038742780685425,1.8529160022735596,1.7714952230453491,1.721534013748169,1.6725096702575684,1.60100257396698,1.541272521018982,1.504637360572815,1.429471731185913,1.377357006072998,1.3369667530059814","8.606274604797363,7.3587965965271,7.0595479011535645,6.55706787109375,6.287207126617432,5.874482154846191,6.14994478225708,5.575709819793701,5.238746643066406,5.12062406539917,4.912010669708252,4.872241973876953,4.602249622344971,4.534833908081055,4.369582176208496,4.248068332672119,4.141018867492676,4.05856990814209,3.953798532485962,3.8791651725769043,3.76309871673584,3.7615630626678467,3.6369855403900146,3.5908799171447754,3.50197172164917,3.4906516075134277,3.4235897064208984,3.368351936340332,3.315512180328369,3.3085663318634033,3.243896722793579,3.252458333969116,3.543466329574585,3.257704973220825,3.217207908630371,3.1797194480895996,3.200266122817993,3.18436598777771,3.153851270675659,3.2161171436309814,3.2285473346710205,3.2162768840789795,3.2311527729034424,3.2837281227111816,3.2940523624420166,3.308995485305786,3.3521153926849365,3.3735740184783936,3.399052619934082,3.4360885620117188"
192,0.4,2.6373279094696045,"10.853510856628418,8.018356323242188,7.143106937408447,6.839145660400391,6.6538286209106445,6.4609761238098145,6.565231800079346,6.268842697143555,6.1146650314331055,5.933087348937988,5.804764747619629,5.6555280685424805,5.5364203453063965,5.4222002029418945,5.315892696380615,5.1948723793029785,5.082094192504883,4.990671157836914,4.882741451263428,4.7911200523376465,4.71867036819458,4.60835599899292,4.53859806060791,4.427828311920166,4.353267192840576,4.249766826629639,4.171858787536621,4.073694705963135,4.148768424987793,3.9583826065063477,3.8589158058166504,3.771697521209717,3.7051608562469482,3.6387531757354736,3.5632717609405518,3.4954833984375,3.4299874305725098,3.3823375701904297,3.303516149520874,3.2485220432281494,3.1722288131713867,3.1245784759521484,3.0583090782165527,2.9932146072387695,2.930530071258545,2.8933000564575195,2.8046228885650635,2.7695939540863037,2.708174467086792,2.6373279094696045","9.129129409790039,7.957767963409424,6.894515037536621,6.899860382080078,6.606037139892578,6.2709126472473145,8.32979679107666,6.650450706481934,6.143642902374268,5.834316730499268,5.568941593170166,5.603796005249023,5.29473876953125,5.141234397888184,5.106196880340576,4.910941123962402,4.850841522216797,4.7637715339660645,4.681290626525879,4.617905139923096,4.439835071563721,4.4470109939575195,4.329512596130371,4.238587379455566,4.178731441497803,4.078592777252197,4.073679447174072,3.982628107070923,3.9672584533691406,3.8495805263519287,3.8147616386413574,3.751575469970703,3.7229857444763184,3.6970033645629883,3.647968053817749,3.623563289642334,3.5926122665405273,3.516611099243164,3.5087153911590576,3.4891304969787598,3.457444190979004,3.4567954540252686,3.4390299320220947,3.3571479320526123,3.314634084701538,3.335003137588501,3.3361918926239014,3.2885468006134033,3.313300848007202,3.254894733428955"
192,0.5,3.187945604324341,"11.393179893493652,8.536723136901855,7.538703918457031,7.123673915863037,6.899877071380615,6.715397357940674,6.58505392074585,6.443402290344238,6.271830081939697,6.155517578125,6.0498223304748535,5.889054775238037,5.790853977203369,5.66028356552124,5.586094856262207,5.497996807098389,5.387897491455078,5.296138763427734,5.289590835571289,5.15842866897583,5.101113319396973,5.022762298583984,4.937932968139648,4.884657859802246,4.805866718292236,4.712894916534424,4.646763801574707,4.559750080108643,4.5047760009765625,4.432194232940674,4.354440689086914,4.294509410858154,4.227418422698975,4.140133857727051,4.074522495269775,4.018431186676025,3.928004503250122,3.876932382583618,3.818211793899536,3.7420780658721924,3.703026056289673,3.6255621910095215,3.547271251678467,3.5014123916625977,3.464015007019043,3.394399881362915,3.3576223850250244,3.2845544815063477,3.247558355331421,3.187945604324341","9.677170753479004,8.161492347717285,10.08243465423584,10.240625381469727,7.127218723297119,6.597304344177246,6.372564315795898,6.619546890258789,6.172995567321777,5.800359725952148,5.846755504608154,5.553868770599365,5.463068008422852,5.384230613708496,5.270505905151367,5.156435012817383,5.065672874450684,4.984062194824219,4.891366481781006,4.883604526519775,4.763829231262207,4.681151866912842,4.615037441253662,4.578890323638916,4.488559722900391,4.406668186187744,4.335636615753174,4.298089027404785,4.223728656768799,4.154172420501709,4.09489107131958,4.085322856903076,3.9711458683013916,3.923326253890991,3.8725128173828125,3.8326947689056396,3.8270926475524902,3.7439236640930176,3.7127981185913086,3.705702543258667,3.639984607696533,3.5917999744415283,3.5467371940612793,3.551255464553833,3.5083401203155518,3.467449903488159,3.4242966175079346,3.4410171508789062,3.382946491241455,3.3705601692199707"
